Vendor,Model,Context (tokens),Input Price ($/1M),Output Price ($/1M),Release Date,Status
NVIDIA,Llama 3.1 Nemotron 8B Instruct (BF16),131000,0.025,0.04,1/3/25,Supported
DeepSeek,DeepSeek R1 Distill Qwen,128000,0.27,1.1,1/20/25,Superseded
Moonshot AI,Kimi K2,128000,0.15,2.5,12/21/24,Supported; competitor to GPT & Claude
Moonshot AI,Kimi K2 Thinking,256000,1,3,11/6/25,Supported; open-source; best-in-class reasoning and agentic capabilities
Vercel,v0-1.0-md (Medium-sized Model),128000,3,15,12/19/24,Supported
Anthropic,Claude Opus 4,200000,15,75,5/22/25,Superseded
OpenAI,GPT-4o,128000,2.5,10,11/14/24,Deprecated for ChatGPT consumers as of Aug 2025 but available via API
OpenAI,GPT-4o Mini,128000,0.15,0.6,11/14/24,"Deprecated with GPT-4o, replaced by GPT-5"
OpenAI,o4-Mini-High,200000,1.1,4.4,11/14/24,Deprecated
Google,Gemini 2.0 Flash,1048576,0.15,0.6,11/12/24,Supported
Google,Gemini 2.0 Flash-Lite,1048576,0.075,0.3,11/12/24,Supported
xAI (Grok),Grok 3,1000000,0.003,0.015,2/17/25,Supported
Perplexity AI,Sonar,4000,1,1,10/1/24,Supported
Perplexity AI,Sonar Pro,4000,3,15,10/1/24,Supported
Perplexity AI,Sonar Reasoning,4000,1,5,10/1/24,Supported
Perplexity AI,Sonar Reasoning Pro,4000,2,8,10/1/24,Supported
Perplexity AI,Sonar Deep Research,4000,2,8,10/1/24,Supported
Perplexity AI,r1-1776,4000,2,8,10/1/24,Supported
Meta,LLaMA 3.1 405B,128000,3.25,3.25,9/24/24,Supported
xAI (Grok),Grok 2,200000,0.002,0.01,8/14/24,Supported
Anthropic,Claude 3.7 Sonnet,200000,3,15,2/24/25,Superseded
Anthropic,Claude 3.7 Sonnet Thinking,200000,3,15,2/24/25,Superseded
Meta,LLaMA 3.3 70B,128000,0.58,0.66,8/8/24,Supported
Meta,LLaMA 3.1 70B,128000,2.68,3.54,8/8/24,Supported
Amazon,Nova Micro,128000,0.035,0.14,8/3/24,Supported
Amazon,Nova Lite,300000,0.06,0.24,8/3/24,Supported
Zhipu AI,GLM-4.5-X,128000,1.6,6.4,7/15/24,Supported
Zhipu AI,GLM-4.5 Air,130000,0.2,1.1,6/20/24,"Live, deprecated Oct 2 2025 in favor of GLM-4.6"
Zhipu AI,GLM-4.5-Standard,128000,0.48,1.92,6/20/24,Supported
Zhipu AI,GLM-4.5,130000,0.59,2.19,6/20/24,Superseded by GLM-4.6; available but not recommended
DeepSeek,DeepSeek R1,128000,0.55,2.19,1/20/25,Superseded
Mistral,Mistral Small 3,32000,0.1,0.3,6/6/24,Supported
Cohere,Command R+ 08-2024,128000,2.5,10,8/26/24,Supported
Cohere,Command R 08-2024,128000,0.15,0.6,8/26/24,Supported
Cohere,Command A 03-2025,128000,2.5,10,3/13/25,Supported
OpenAI,o3 Mini,200000,1.1,4.4,5/20/24,Superseded
OpenAI,o3-Mini-High,200000,1.1,4.4,5/20/24,Superseded
Mistral,Mixtral 8x7B,32000,0.45,0.6,4/16/24,Supported
Anthropic,Claude 3.5 Sonnet,200000,3,15,6/20/24,Superseded
Anthropic,Claude 3.5 Haiku,200000,0.8,4,10/22/24,Superseded by newer Claude models
Google,Gemini 1.5 Pro (Base-1),2097152,1.25,5,3/15/24,"Older model, mostly superseded"
Google,Gemini 1.5 Pro (Base-2),2097152,2.5,10,3/15/24,Older model
Google,Gemini 1.5 Flash (Model-1),1048576,0.075,0.3,3/15/24,Older variant
Google,Gemini 1.5 Flash (Model-2),1048576,0.15,0.6,3/15/24,Older variant
Google,Gemini 1.5 Flash-8B (Model-1),1000000,0.0375,0.15,3/15/24,Active lower-cost model
Google,Gemini 1.5 Flash-8B (Model-2),1000000,0.075,0.3,3/15/24,Active
xAI (Grok),Grok 1,128000,0,0,3/17/24,Discontinued or legacy
Mistral,Mistral Large,128000,2,6,1/18/24,Supported
Mistral,Mistral Small,32000,0.2,0.6,12/5/23,Supported
OpenAI,o1,200000,15,60,11/1/23,Superseded by newer GPT-5 models
OpenAI,o1 Mini,128000,1.1,4.4,11/1/23,Replaced with GPT-5 mini/nano
OpenAI,GPT-OSS-20b,128000,0,0,7/15/23,"Open source, community maintained"
OpenAI,GPT-OSS-120b,128000,0,0,7/15/23,Open source
DeepSeek,DeepSeek-V3-0324,163000,0.34,0.88,3/24/25,Stable 
DeepSeek,DeepSeek-V3.1,163000,0.56,1.68,8/21/25,Stable 
DeepSeek,DeepSeek-V3.1-Terminus,163000,0.56,1.68,9/22/25,Stable 
DeepSeek,DeepSeek-V3.2-Exp,128000,0.28,0.42,9/29/25,Experimental
OpenAI,GPT-5.1 Instant,128000,2.5,20,11/12/25,"Fastest response, elevated throughput and context, Pro/Ent"
OpenAI,GPT-5.1 Thinking,196000,2.5,20,11/12/25,"Longest context, advanced handling, Pro/Ent"
OpenAI,GPT-5.1 Reasoning,Enterprise/Pro,2.5,20,11/24/25,"Advanced reasoning, for business use cases, enterprise only"
OpenAI,GPT-5.1 Pro,Higher limits,2.5,20,11/24/25,"Highest API limits, premium support and custom features"
